Period type,Country/Region,Year,Main Groups,Index Numbers
Annual,Malaysia,2005,Total,87.7
Annual,Malaysia,2005,Food and Non- Alcoholic Beverages,80.9
Annual,Malaysia,2005,Alcoholic Beverages and Tobacco,73.4
Annual,Malaysia,2005,Clothing and Footware,105.7
Annual,Malaysia,2005,"Housing, Water, Electricity, Gas and Other Fuels",93.4
Annual,Malaysia,2005,"Furnishings, Households Equipment and Routine Household Maintenance",91.6
Annual,Malaysia,2005,Health,90.8
Annual,Malaysia,2005,Transport,87.9
Annual,Malaysia,2005,Communication,104.1
Annual,Malaysia,2005,Recreation Services and Culture,93.3
Annual,Malaysia,2005,Education,90.8
Annual,Malaysia,2005,Restaurants and Hotels,83.2
Annual,Malaysia,2005,Miscellaneous Goods and Services,88.0
Annual,Malaysia,2006,Total,90.9
Annual,Malaysia,2006,Food and Non- Alcoholic Beverages,83.6
Annual,Malaysia,2006,Alcoholic Beverages and Tobacco,78.5
Annual,Malaysia,2006,Clothing and Footware,104.3
Annual,Malaysia,2006,"Housing, Water, Electricity, Gas and Other Fuels",94.8
Annual,Malaysia,2006,"Furnishings, Households Equipment and Routine Household Maintenance",92.6
Annual,Malaysia,2006,Health,92.8
Annual,Malaysia,2006,Transport,97.5
Annual,Malaysia,2006,Communication,102.6
Annual,Malaysia,2006,Recreation Services and Culture,93.9
Annual,Malaysia,2006,Education,92.3
Annual,Malaysia,2006,Restaurants and Hotels,86.3
Annual,Malaysia,2006,Miscellaneous Goods and Services,90.0
Annual,Malaysia,2007,Total,92.7
Annual,Malaysia,2007,Food and Non- Alcoholic Beverages,86.2
Annual,Malaysia,2007,Alcoholic Beverages and Tobacco,84.5
Annual,Malaysia,2007,Clothing and Footware,102.9
Annual,Malaysia,2007,"Housing, Water, Electricity, Gas and Other Fuels",96.0
Annual,Malaysia,2007,"Furnishings, Households Equipment and Routine Household Maintenance",93.6
Annual,Malaysia,2007,Health,94.2
Annual,Malaysia,2007,Transport,99.8
Annual,Malaysia,2007,Communication,101.3
Annual,Malaysia,2007,Recreation Services and Culture,95.2
Annual,Malaysia,2007,Education,93.9
Annual,Malaysia,2007,Restaurants and Hotels,89.5
Annual,Malaysia,2007,Miscellaneous Goods and Services,90.8
Annual,Malaysia,2008,Total,97.7
Annual,Malaysia,2008,Food and Non- Alcoholic Beverages,93.8
Annual,Malaysia,2008,Alcoholic Beverages and Tobacco,90.7
Annual,Malaysia,2008,Clothing and Footware,102.3
Annual,Malaysia,2008,"Housing, Water, Electricity, Gas and Other Fuels",97.5
Annual,Malaysia,2008,"Furnishings, Households Equipment and Routine Household Maintenance",96.4
Annual,Malaysia,2008,Health,96.3
Annual,Malaysia,2008,Transport,108.6
Annual,Malaysia,2008,Communication,100.7
Annual,Malaysia,2008,Recreation Services and Culture,97.0
Annual,Malaysia,2008,Education,96.1
Annual,Malaysia,2008,Restaurants and Hotels,95.3
Annual,Malaysia,2008,Miscellaneous Goods and Services,93.8
Annual,Malaysia,2009,Total,98.3
Annual,Malaysia,2009,Food and Non- Alcoholic Beverages,97.6
Annual,Malaysia,2009,Alcoholic Beverages and Tobacco,96.2
Annual,Malaysia,2009,Clothing and Footware,101.3
Annual,Malaysia,2009,"Housing, Water, Electricity, Gas and Other Fuels",98.9
Annual,Malaysia,2009,"Furnishings, Households Equipment and Routine Household Maintenance",99.3
Annual,Malaysia,2009,Health,98.4
Annual,Malaysia,2009,Transport,98.4
Annual,Malaysia,2009,Communication,100.2
Annual,Malaysia,2009,Recreation Services and Culture,98.4
Annual,Malaysia,2009,Education,98.4
Annual,Malaysia,2009,Restaurants and Hotels,98.1
Annual,Malaysia,2009,Miscellaneous Goods and Services,97.3
Annual,Malaysia,2010,Total,100.0
Annual,Malaysia,2010,Food and Non- Alcoholic Beverages,100.0
Annual,Malaysia,2010,Alcoholic Beverages and Tobacco,100.0
Annual,Malaysia,2010,Clothing and Footware,100.0
Annual,Malaysia,2010,"Housing, Water, Electricity, Gas and Other Fuels",100.0
Annual,Malaysia,2010,"Furnishings, Households Equipment and Routine Household Maintenance",100.0
Annual,Malaysia,2010,Health,100.0
Annual,Malaysia,2010,Transport,100.0
Annual,Malaysia,2010,Communication,100.0
Annual,Malaysia,2010,Recreation Services and Culture,100.0
Annual,Malaysia,2010,Education,100.0
Annual,Malaysia,2010,Restaurants and Hotels,100.0
Annual,Malaysia,2010,Miscellaneous Goods and Services,100.0
Annual,Malaysia,2011,Total,103.2
Annual,Malaysia,2011,Food and Non- Alcoholic Beverages,104.8
Annual,Malaysia,2011,Alcoholic Beverages and Tobacco,104.6
Annual,Malaysia,2011,Clothing and Footware,99.8
Annual,Malaysia,2011,"Housing, Water, Electricity, Gas and Other Fuels",101.8
Annual,Malaysia,2011,"Furnishings, Households Equipment and Routine Household Maintenance",101.8
Annual,Malaysia,2011,Health,102.7
Annual,Malaysia,2011,Transport,104.4
Annual,Malaysia,2011,Communication,99.7
Annual,Malaysia,2011,Recreation Services and Culture,102.0
Annual,Malaysia,2011,Education,102.2
Annual,Malaysia,2011,Restaurants and Hotels,105.9
Annual,Malaysia,2011,Miscellaneous Goods and Services,102.4
Annual,Malaysia,2012,Total,104.9
Annual,Malaysia,2012,Food and Non- Alcoholic Beverages,107.6
Annual,Malaysia,2012,Alcoholic Beverages and Tobacco,105.0
Annual,Malaysia,2012,Clothing and Footware,99.2
Annual,Malaysia,2012,"Housing, Water, Electricity, Gas and Other Fuels",103.4
Annual,Malaysia,2012,"Furnishings, Households Equipment and Routine Household Maintenance",103.8
Annual,Malaysia,2012,Health,104.8
Annual,Malaysia,2012,Transport,105.1
Annual,Malaysia,2012,Communication,99.1
Annual,Malaysia,2012,Recreation Services and Culture,103.2
Annual,Malaysia,2012,Education,104.7
Annual,Malaysia,2012,Restaurants and Hotels,109.0
Annual,Malaysia,2012,Miscellaneous Goods and Services,104.4
Annual,Malaysia,2013,Total,107.1
Annual,Malaysia,2013,Food and Non- Alcoholic Beverages,111.5
Annual,Malaysia,2013,Alcoholic Beverages and Tobacco,111.3
Annual,Malaysia,2013,Clothing and Footware,98.6
Annual,Malaysia,2013,"Housing, Water, Electricity, Gas and Other Fuels",105.2
Annual,Malaysia,2013,"Furnishings, Households Equipment and Routine Household Maintenance",105.4
Annual,Malaysia,2013,Health,106.8
Annual,Malaysia,2013,Transport,107.2
Annual,Malaysia,2013,Communication,98.4
Annual,Malaysia,2013,Recreation Services and Culture,103.3
Annual,Malaysia,2013,Education,107.2
Annual,Malaysia,2013,Restaurants and Hotels,111.7
Annual,Malaysia,2013,Miscellaneous Goods and Services,104.7
Annual,Malaysia,2014,Total,110.5
Annual,Malaysia,2014,Food and Non- Alcoholic Beverages,115.2
Annual,Malaysia,2014,Alcoholic Beverages and Tobacco,124.2
Annual,Malaysia,2014,Clothing and Footware,98.4
Annual,Malaysia,2014,"Housing, Water, Electricity, Gas and Other Fuels",108.8
Annual,Malaysia,2014,"Furnishings, Households Equipment and Routine Household Maintenance",106.5
Annual,Malaysia,2014,Health,109.9
Annual,Malaysia,2014,Transport,112.4
Annual,Malaysia,2014,Communication,97.7
Annual,Malaysia,2014,Recreation Services and Culture,104.9
Annual,Malaysia,2014,Education,109.8
Annual,Malaysia,2014,Restaurants and Hotels,116.9
Annual,Malaysia,2014,Miscellaneous Goods and Services,105.4
Annual,Malaysia,2015,Total,112.8
Annual,Malaysia,2015,Food and Non- Alcoholic Beverages,119.4
Annual,Malaysia,2015,Alcoholic Beverages and Tobacco,141.0
Annual,Malaysia,2015,Clothing and Footware,98.9
Annual,Malaysia,2015,"Housing, Water, Electricity, Gas and Other Fuels",111.5
Annual,Malaysia,2015,"Furnishings, Households Equipment and Routine Household Maintenance",109.4
Annual,Malaysia,2015,Health,114.8
Annual,Malaysia,2015,Transport,107.3
Annual,Malaysia,2015,Communication,99.6
Annual,Malaysia,2015,Recreation Services and Culture,106.7
Annual,Malaysia,2015,Education,112.4
Annual,Malaysia,2015,Restaurants and Hotels,121.7
Annual,Malaysia,2015,Miscellaneous Goods and Services,109.7
Annual,Malaysia,2016,Total,115.2
Annual,Malaysia,2016,Food and Non- Alcoholic Beverages,123.9
Annual,Malaysia,2016,Alcoholic Beverages and Tobacco,165.2
Annual,Malaysia,2016,Clothing and Footware,98.5
Annual,Malaysia,2016,"Housing, Water, Electricity, Gas and Other Fuels",114.2
Annual,Malaysia,2016,"Furnishings, Households Equipment and Routine Household Maintenance",112.0
Annual,Malaysia,2016,Health,117.9
Annual,Malaysia,2016,Transport,102.4
Annual,Malaysia,2016,Communication,98.1
Annual,Malaysia,2016,Recreation Services and Culture,109.4
Annual,Malaysia,2016,Education,114.8
Annual,Malaysia,2016,Restaurants and Hotels,125.1
Annual,Malaysia,2016,Miscellaneous Goods and Services,112.9
Annual,Malaysia,2017,Total,119.5
Annual,Malaysia,2017,Food and Non- Alcoholic Beverages,128.8
Annual,Malaysia,2017,Alcoholic Beverages and Tobacco,165.5
Annual,Malaysia,2017,Clothing and Footware,98.2
Annual,Malaysia,2017,"Housing, Water, Electricity, Gas and Other Fuels",116.7
Annual,Malaysia,2017,"Furnishings, Households Equipment and Routine Household Maintenance",114.4
Annual,Malaysia,2017,Health,120.9
Annual,Malaysia,2017,Transport,115.9
Annual,Malaysia,2017,Communication,97.7
Annual,Malaysia,2017,Recreation Services and Culture,111.5
Annual,Malaysia,2017,Education,116.7
Annual,Malaysia,2017,Restaurants and Hotels,128.2
Annual,Malaysia,2017,Miscellaneous Goods and Services,114.2
Annual,Malaysia,2018,Total,120.7
Annual,Malaysia,2018,Food and Non- Alcoholic Beverages,130.9
Annual,Malaysia,2018,Alcoholic Beverages and Tobacco,165.3
Annual,Malaysia,2018,Clothing and Footware,96.2
Annual,Malaysia,2018,"Housing, Water, Electricity, Gas and Other Fuels",119.0
Annual,Malaysia,2018,"Furnishings, Households Equipment and Routine Household Maintenance",114.8
Annual,Malaysia,2018,Health,121.9
Annual,Malaysia,2018,Transport,117.7
