Country/Region,Base Year,Year,Main Groups,Index Numbers
Malaysia,2005,2000,Total,91.7
Malaysia,2005,2000,Food,91.9
Malaysia,2005,2000,Beverages and Tobacco,75.6
Malaysia,2005,2000,Clothing and Footwear,110.3
Malaysia,2005,2000,"Gross Rent, Fuel and Power",95.1
Malaysia,2005,2000,"Furniture, Furnishings and Household Equipment and Operation",98.5
Malaysia,2005,2000,Medical Care and Health Expenses,90.6
Malaysia,2005,2000,Transport and Communication,84.7
Malaysia,2005,2000,"Recreation, Entertainment, Education and Cultural Services",98.9
Malaysia,2005,2000,Miscellaneous Goods and Services,93
Malaysia,2005,2001,Total,92.9
Malaysia,2005,2001,Food,92.6
Malaysia,2005,2001,Beverages and Tobacco,79.2
Malaysia,2005,2001,Clothing and Footwear,107.4
Malaysia,2005,2001,"Gross Rent, Fuel and Power",96.4
Malaysia,2005,2001,"Furniture, Furnishings and Household Equipment and Operation",98.6
Malaysia,2005,2001,Medical Care and Health Expenses,93.2
Malaysia,2005,2001,Transport and Communication,87.7
Malaysia,2005,2001,"Recreation, Entertainment, Education and Cultural Services",98.8
Malaysia,2005,2001,Miscellaneous Goods and Services,93.7
Malaysia,2005,2002,Total,94.6
Malaysia,2005,2002,Food,93.2
Malaysia,2005,2002,Beverages and Tobacco,82.5
Malaysia,2005,2002,Clothing and Footwear,105
Malaysia,2005,2002,"Gross Rent, Fuel and Power",97.1
Malaysia,2005,2002,"Furniture, Furnishings and Household Equipment and Operation",98.2
Malaysia,2005,2002,Medical Care and Health Expenses,95.5
Malaysia,2005,2002,Transport and Communication,93.5
Malaysia,2005,2002,"Recreation, Entertainment, Education and Cultural Services",99
Malaysia,2005,2002,Miscellaneous Goods and Services,94.7
Malaysia,2005,2003,Total,95.7
Malaysia,2005,2003,Food,94.4
Malaysia,2005,2003,Beverages and Tobacco,83.9
Malaysia,2005,2003,Clothing and Footwear,102.9
Malaysia,2005,2003,"Gross Rent, Fuel and Power",97.9
Malaysia,2005,2003,"Furniture, Furnishings and Household Equipment and Operation",97.6
Malaysia,2005,2003,Medical Care and Health Expenses,97.1
Malaysia,2005,2003,Transport and Communication,95
Malaysia,2005,2003,"Recreation, Entertainment, Education and Cultural Services",99.6
Malaysia,2005,2003,Miscellaneous Goods and Services,95.9
Malaysia,2005,2004,Total,97.1
Malaysia,2005,2004,Food,96.5
Malaysia,2005,2004,Beverages and Tobacco,90.5
Malaysia,2005,2004,Clothing and Footwear,101
Malaysia,2005,2004,"Gross Rent, Fuel and Power",98.9
Malaysia,2005,2004,"Furniture, Furnishings and Household Equipment and Operation",98
Malaysia,2005,2004,Medical Care and Health Expenses,98.5
Malaysia,2005,2004,Transport and Communication,95.8
Malaysia,2005,2004,"Recreation, Entertainment, Education and Cultural Services",99.5
Malaysia,2005,2004,Miscellaneous Goods and Services,97.7
Malaysia,2005,2005,Total,100
Malaysia,2005,2005,Food,100
Malaysia,2005,2005,Beverages and Tobacco,100
Malaysia,2005,2005,Clothing and Footwear,100
Malaysia,2005,2005,"Gross Rent, Fuel and Power",100
