Year,Month,Stage of processing number,Stage of processing details,Index Value,
2010,JAN,Total,Total,98.4,
2010,JAN,1,Crude materials for further processing,97.3,
2010,JAN,1.1,Foodstuffs and feedstuffs,97.1,
2010,JAN,1.2,Non-food materials,97.3,
2010,JAN,1.2.1,Non-food materials except fuel,88.7,
2010,JAN,1.2.2,Crude fuel,101.0,
2010,JAN,2,Intermediate materials supplies and components,97.6,
2010,JAN,2.1,Materials and components for manufacturing,96.0,
2010,JAN,2.1.1,Materials for food manufacturing,92.5,
2010,JAN,2.1.2,Materials for others manufacturing,97.4,
2010,JAN,2.2,Materials and components for construction,98.4,
2010,JAN,2.3,Processed fuels and lubricants,97.5,
2010,JAN,2.4,Containers,96.6,
2010,JAN,2.5,Supplies,104.1,
2010,JAN,2.5.1,Manufacturing industries,105.0,
2010,JAN,2.5.2,Non-manufacturing industries,97.9,
2010,JAN,2.5.2.1,Feeds,-,
2010,JAN,2.5.2.2,Other supplies,97.9,
2010,JAN,3,Finished goods,100.7,
2010,JAN,3.1,Finished consumer goods,98.3,
2010,JAN,3.1.1,Finished consumer foods,98.4,
2010,JAN,3.1.1.1,Crude,95.1,
2010,JAN,3.1.1.2,Processed,98.7,
2010,JAN,3.1.2,Finished consumer goods excluding foods,98.3,
2010,JAN,3.1.2.1,Durable,100.1,
2010,JAN,3.1.2.2,Semi-durable,98.8,
2010,JAN,3.1.2.3,Non-durable,96.7,
2010,JAN,3.2,Capital equipment,101.8,
2010,JAN,3.2.1,Manufacturing industries,102.7,
2010,JAN,3.2.2,Non-manufacturing industries,101.1,
2010,FEB,Total,Total,98.4,
2010,FEB,1,Crude materials for further processing,95.9,
2010,FEB,1.1,Foodstuffs and feedstuffs,96.7,
2010,FEB,1.2,Non-food materials,95.7,
2010,FEB,1.2.1,Non-food materials except fuel,90.4,
2010,FEB,1.2.2,Crude fuel,98.0,
2010,FEB,2,Intermediate materials supplies and components,98.3,
2010,FEB,2.1,Materials and components for manufacturing,97.6,
2010,FEB,2.1.1,Materials for food manufacturing,94.1,
2010,FEB,2.1.2,Materials for others manufacturing,99.0,
2010,FEB,2.2,Materials and components for construction,98.4,
2010,FEB,2.3,Processed fuels and lubricants,97.6,
2010,FEB,2.4,Containers,98.9,
2010,FEB,2.5,Supplies,102.2,
2010,FEB,2.5.1,Manufacturing industries,102.6,
2010,FEB,2.5.2,Non-manufacturing industries,99.0,
2010,FEB,2.5.2.1,Feeds,-,
2010,FEB,2.5.2.2,Other supplies,99.0,
2010,FEB,3,Finished goods,100.6,
2010,FEB,3.1,Finished consumer goods,99.0,
2010,FEB,3.1.1,Finished consumer foods,99.1,
2010,FEB,3.1.1.1,Crude,101.9,
2010,FEB,3.1.1.2,Processed,98.9,
2010,FEB,3.1.2,Finished consumer goods excluding foods,99.0,
