HargaPurata,HargaRendah,HargaTinggi,NamaPusat,NamaVarieti,UnitBarang,dateTime
4.15,4.10,4.20,"Pusat : JOHOR BAHRU, JOHOR",AYAM HIDUP,KILOGRAM,2023-02-04 11:09:30.729780
6.40,6.40,6.40,"Pusat : JOHOR BAHRU, JOHOR",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 11:09:30.736760
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 11:09:30.745737
6.50,6.00,7.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 11:09:30.752717
10.50,10.00,11.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 11:09:30.761694
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",BAYAM,KILOGRAM,2023-02-04 11:09:30.769673
5.50,5.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",BELIMBING (B10),KILOGRAM,2023-02-04 11:09:30.778648
3.00,3.00,3.00,"Pusat : JOHOR BAHRU, JOHOR",BETIK SEKAKI,KILOGRAM,2023-02-04 11:09:30.786627
.95,.90,1.00,"Pusat : JOHOR BAHRU, JOHOR",BUNGA KANTAN,TANGKAI,2023-02-04 11:09:30.795607
9.50,9.00,10.00,"Pusat : JOHOR BAHRU, JOHOR",CILI HIJAU,KILOGRAM,2023-02-04 11:09:30.803582
11.50,11.00,12.00,"Pusat : JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 11:09:30.811566
12.25,12.00,12.50,"Pusat : JOHOR BAHRU, JOHOR",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 11:09:30.816547
9.50,9.00,10.00,"Pusat : JOHOR BAHRU, JOHOR",DAUN BAWANG,KILOGRAM,2023-02-04 11:09:30.822533
6.50,6.00,7.00,"Pusat : JOHOR BAHRU, JOHOR",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:30.827517
7.50,7.00,8.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG BENDI,KILOGRAM,2023-02-04 11:09:30.833503
7.75,7.50,8.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG BUNCIS,KILOGRAM,2023-02-04 11:09:30.839491
6.75,6.50,7.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 11:09:30.856439
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KANGKUNG,KILOGRAM,2023-02-04 11:09:30.873393
1.80,1.60,2.00,"Pusat : JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,BIJI,2023-02-04 11:09:30.900322
6.00,6.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",KELAPA PARUT,KILOGRAM,2023-02-04 11:09:30.907302
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 11:09:30.916279
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 11:09:30.921266
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 11:09:30.924257
2.75,2.50,3.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (INDONESIA),KILOGRAM,2023-02-04 11:09:30.927250
4.25,4.00,4.50,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:30.931239
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",PISANG BERANGAN,KILOGRAM,2023-02-04 11:09:30.935241
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",PISANG MAS,KILOGRAM,2023-02-04 11:09:30.939818
8.00,8.00,8.00,"Pusat : JOHOR BAHRU, JOHOR",SANTAN BIASA,KILOGRAM,2023-02-04 11:09:30.943806
4.75,4.50,5.00,"Pusat : JOHOR BAHRU, JOHOR",SAWI HIJAU,KILOGRAM,2023-02-04 11:09:30.947796
.45,.45,.45,"Pusat : JOHOR BAHRU, JOHOR",TELUR AYAM,BIJI,2023-02-04 11:09:30.951785
.44,.44,.44,"Pusat : JOHOR BAHRU, JOHOR",TELUR AYAM,BIJI,2023-02-04 11:09:30.956772
.43,.43,.43,"Pusat : JOHOR BAHRU, JOHOR",TELUR AYAM,BIJI,2023-02-04 11:09:30.986692
2.75,2.50,3.00,"Pusat : JOHOR BAHRU, JOHOR",TEMBIKAI MERAH,KILOGRAM,2023-02-04 11:09:30.991678
5.50,5.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 11:09:31.001652
3.25,3.00,3.50,"Pusat : JOHOR BAHRU, JOHOR",TIMUN HIJAU,KILOGRAM,2023-02-04 11:09:31.004644
4.75,4.50,5.00,"Pusat : JOHOR BAHRU, JOHOR",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 11:09:31.006638
3.00,3.00,3.00,"Pusat : JOHOR BAHRU, JOHOR",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 11:09:31.009631
7.00,7.00,7.00,"Pusat : KOTA SETAR, KEDAH",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 11:09:31.014617
8.00,8.00,8.00,"Pusat : KOTA SETAR, KEDAH",AYAM PROSES SUPER,KILOGRAM,2023-02-04 11:09:31.019604
3.00,2.50,3.50,"Pusat : KOTA SETAR, KEDAH",BAWANG BESAR KUNING / HOLLAND,KILOGRAM,2023-02-04 11:09:31.022596
2.75,2.50,3.00,"Pusat : KOTA SETAR, KEDAH",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 11:09:31.026822
5.25,5.00,5.50,"Pusat : KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 11:09:31.030576
9.00,8.00,10.00,"Pusat : KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 11:09:31.033567
5.50,5.00,6.00,"Pusat : KOTA SETAR, KEDAH",BAWANG PUTIH (CHINA),KILOGRAM,2023-02-04 11:09:31.036558
4.50,4.00,5.00,"Pusat : KOTA SETAR, KEDAH",BAYAM,KILOGRAM,2023-02-04 11:09:31.038553
6.00,6.00,6.00,"Pusat : KOTA SETAR, KEDAH",BELIMBING (B10),KILOGRAM,2023-02-04 11:09:31.041547
1.25,1.00,1.50,"Pusat : KOTA SETAR, KEDAH",BUNGA KANTAN,TANGKAI,2023-02-04 11:09:31.044540
7.00,6.00,8.00,"Pusat : KOTA SETAR, KEDAH",CILI HIJAU,KILOGRAM,2023-02-04 11:09:31.047531
12.00,11.00,13.00,"Pusat : KOTA SETAR, KEDAH",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 11:09:31.049526
7.50,7.00,8.00,"Pusat : KOTA SETAR, KEDAH",CILI MERAH MINYAK,KILOGRAM,2023-02-04 11:09:31.052517
