Year,Month,Strata,Main groups,Index Value
2017,JAN,Urban,Total,118.4
2017,JAN,Urban,Food and Non- Alcoholic Beverages,128.3
2017,JAN,Urban,Alcoholic Beverages and Tobacco,163.0
2017,JAN,Urban,Clothing and Footware,97.3
2017,JAN,Urban,"Housing, Water, Electricity, Gas and Other Fuels",115.8
2017,JAN,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",113.9
2017,JAN,Urban,Health,120.6
2017,JAN,Urban,Transport,113.9
2017,JAN,Urban,Communication,97.8
2017,JAN,Urban,Recreation Services and Culture,111.2
2017,JAN,Urban,Education,116.7
2017,JAN,Urban,Restaurants and Hotels,127.8
2017,JAN,Urban,Miscellaneous Goods and Services,113.6
2017,FEB,Urban,Total,120.0
2017,FEB,Urban,Food and Non- Alcoholic Beverages,129.6
2017,FEB,Urban,Alcoholic Beverages and Tobacco,163.1
2017,FEB,Urban,Clothing and Footware,97.5
2017,FEB,Urban,"Housing, Water, Electricity, Gas and Other Fuels",116.7
2017,FEB,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",114.3
2017,FEB,Urban,Health,120.9
2017,FEB,Urban,Transport,120.0
2017,FEB,Urban,Communication,97.8
2017,FEB,Urban,Recreation Services and Culture,111.6
2017,FEB,Urban,Education,117.0
2017,FEB,Urban,Restaurants and Hotels,128.6
2017,FEB,Urban,Miscellaneous Goods and Services,114.0
2017,MAR,Urban,Total,119.8
2017,MAR,Urban,Food and Non- Alcoholic Beverages,129.1
2017,MAR,Urban,Alcoholic Beverages and Tobacco,163.1
2017,MAR,Urban,Clothing and Footware,97.4
2017,MAR,Urban,"Housing, Water, Electricity, Gas and Other Fuels",116.7
2017,MAR,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",114.4
2017,MAR,Urban,Health,121.2
2017,MAR,Urban,Transport,119.7
2017,MAR,Urban,Communication,97.8
2017,MAR,Urban,Recreation Services and Culture,111.4
2017,MAR,Urban,Education,117.1
2017,MAR,Urban,Restaurants and Hotels,128.9
2017,MAR,Urban,Miscellaneous Goods and Services,114.0
2017,APR,Urban,Total,119.6
2017,APR,Urban,Food and Non- Alcoholic Beverages,129.3
2017,APR,Urban,Alcoholic Beverages and Tobacco,163.2
2017,APR,Urban,Clothing and Footware,97.6
2017,APR,Urban,"Housing, Water, Electricity, Gas and Other Fuels",116.7
2017,APR,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",114.9
2017,APR,Urban,Health,121.5
2017,APR,Urban,Transport,117.4
2017,APR,Urban,Communication,97.8
2017,APR,Urban,Recreation Services and Culture,111.4
2017,APR,Urban,Education,117.1
2017,APR,Urban,Restaurants and Hotels,129.1
2017,APR,Urban,Miscellaneous Goods and Services,114.2
2017,MAY,Urban,Total,119.4
2017,MAY,Urban,Food and Non- Alcoholic Beverages,129.9
2017,MAY,Urban,Alcoholic Beverages and Tobacco,163.4
2017,MAY,Urban,Clothing and Footware,97.4
2017,MAY,Urban,"Housing, Water, Electricity, Gas and Other Fuels",117.2
2017,MAY,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",115.3
2017,MAY,Urban,Health,121.5
2017,MAY,Urban,Transport,113.8
2017,MAY,Urban,Communication,97.7
2017,MAY,Urban,Recreation Services and Culture,111.5
2017,MAY,Urban,Education,117.2
2017,MAY,Urban,Restaurants and Hotels,129.3
2017,MAY,Urban,Miscellaneous Goods and Services,114.3
2017,JUN,Urban,Total,119.1
2017,JUN,Urban,Food and Non- Alcoholic Beverages,130.4
2017,JUN,Urban,Alcoholic Beverages and Tobacco,163.3
2017,JUN,Urban,Clothing and Footware,97.2
2017,JUN,Urban,"Housing, Water, Electricity, Gas and Other Fuels",117.2
2017,JUN,Urban,"Furnishings, Households Equipment and Routine Household Maintenance",115.3
2017,JUN,Urban,Health,121.9
2017,JUN,Urban,Transport,111.0
2017,JUN,Urban,Communication,97.7
2017,JUN,Urban,Recreation Services and Culture,111.6
2017,JUN,Urban,Education,117.2
2017,JUN,Urban,Restaurants and Hotels,129.4
2017,JUN,Urban,Miscellaneous Goods and Services,114.1
