HargaPurata,HargaRendah,HargaTinggi,NamaPusat,NamaVarieti,UnitBarang,dateTime
4.15,4.10,4.20,"Pusat : JOHOR BAHRU, JOHOR",AYAM HIDUP,KILOGRAM,2023-02-13 23:55:09.850792
6.40,6.40,6.40,"Pusat : JOHOR BAHRU, JOHOR",AYAM PROSES STANDARD,KILOGRAM,2023-02-13 23:55:09.950170
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-13 23:55:10.035107
6.50,6.00,7.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-13 23:55:10.120033
10.50,10.00,11.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-13 23:55:10.206078
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",BAYAM,KILOGRAM,2023-02-13 23:55:10.290916
5.50,5.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",BELIMBING (B10),KILOGRAM,2023-02-13 23:55:10.375932
3.00,3.00,3.00,"Pusat : JOHOR BAHRU, JOHOR",BETIK SEKAKI,KILOGRAM,2023-02-13 23:55:10.464823
.95,.90,1.00,"Pusat : JOHOR BAHRU, JOHOR",BUNGA KANTAN,TANGKAI,2023-02-13 23:55:10.562012
9.50,9.00,10.00,"Pusat : JOHOR BAHRU, JOHOR",CILI HIJAU,KILOGRAM,2023-02-13 23:55:10.662185
11.50,11.00,12.00,"Pusat : JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-13 23:55:10.746691
12.25,12.00,12.50,"Pusat : JOHOR BAHRU, JOHOR",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-13 23:55:10.832798
9.50,9.00,10.00,"Pusat : JOHOR BAHRU, JOHOR",DAUN BAWANG,KILOGRAM,2023-02-13 23:55:10.925106
6.50,6.00,7.00,"Pusat : JOHOR BAHRU, JOHOR",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-13 23:55:11.013821
7.50,7.00,8.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG BENDI,KILOGRAM,2023-02-13 23:55:11.099096
7.75,7.50,8.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG BUNCIS,KILOGRAM,2023-02-13 23:55:11.189233
6.75,6.50,7.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,KILOGRAM,2023-02-13 23:55:11.272091
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KANGKUNG,KILOGRAM,2023-02-13 23:55:11.356964
1.80,1.60,2.00,"Pusat : JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,BIJI,2023-02-13 23:55:11.440907
6.00,6.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",KELAPA PARUT,KILOGRAM,2023-02-13 23:55:11.524163
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-13 23:55:11.616982
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),KILOGRAM,2023-02-13 23:55:11.702204
