HargaPurata,HargaRendah,HargaTinggi,NamaPusat,NamaVarieti,UnitBarang,dateTime
4.15,4.10,4.20,"Pusat : JOHOR BAHRU, JOHOR",AYAM HIDUP,KILOGRAM,2023-02-04 23:49:13.320727
6.40,6.40,6.40,"Pusat : JOHOR BAHRU, JOHOR",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 23:49:13.323720
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 23:49:13.325715
6.50,6.00,7.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 23:49:13.327709
10.50,10.00,11.00,"Pusat : JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 23:49:13.329705
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",BAYAM,KILOGRAM,2023-02-04 23:49:13.332697
5.50,5.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",BELIMBING (B10),KILOGRAM,2023-02-04 23:49:13.334692
3.00,3.00,3.00,"Pusat : JOHOR BAHRU, JOHOR",BETIK SEKAKI,KILOGRAM,2023-02-04 23:49:13.336685
.95,.90,1.00,"Pusat : JOHOR BAHRU, JOHOR",BUNGA KANTAN,TANGKAI,2023-02-04 23:49:13.339677
9.50,9.00,10.00,"Pusat : JOHOR BAHRU, JOHOR",CILI HIJAU,KILOGRAM,2023-02-04 23:49:13.341672
11.50,11.00,12.00,"Pusat : JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 23:49:13.343668
12.25,12.00,12.50,"Pusat : JOHOR BAHRU, JOHOR",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 23:49:13.345453
9.50,9.00,10.00,"Pusat : JOHOR BAHRU, JOHOR",DAUN BAWANG,KILOGRAM,2023-02-04 23:49:13.347447
6.50,6.00,7.00,"Pusat : JOHOR BAHRU, JOHOR",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.348444
7.50,7.00,8.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG BENDI,KILOGRAM,2023-02-04 23:49:13.351437
7.75,7.50,8.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG BUNCIS,KILOGRAM,2023-02-04 23:49:13.353432
6.75,6.50,7.00,"Pusat : JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 23:49:13.355424
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KANGKUNG,KILOGRAM,2023-02-04 23:49:13.357420
1.80,1.60,2.00,"Pusat : JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,BIJI,2023-02-04 23:49:13.359422
6.00,6.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",KELAPA PARUT,KILOGRAM,2023-02-04 23:49:13.362409
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 23:49:13.364402
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 23:49:13.366396
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 23:49:13.368389
2.75,2.50,3.00,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (INDONESIA),KILOGRAM,2023-02-04 23:49:13.370385
4.25,4.00,4.50,"Pusat : JOHOR BAHRU, JOHOR",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.372147
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",PISANG BERANGAN,KILOGRAM,2023-02-04 23:49:13.374142
3.75,3.50,4.00,"Pusat : JOHOR BAHRU, JOHOR",PISANG MAS,KILOGRAM,2023-02-04 23:49:13.376137
8.00,8.00,8.00,"Pusat : JOHOR BAHRU, JOHOR",SANTAN BIASA,KILOGRAM,2023-02-04 23:49:13.379130
4.75,4.50,5.00,"Pusat : JOHOR BAHRU, JOHOR",SAWI HIJAU,KILOGRAM,2023-02-04 23:49:13.381129
.45,.45,.45,"Pusat : JOHOR BAHRU, JOHOR",TELUR AYAM,BIJI,2023-02-04 23:49:13.383130
.44,.44,.44,"Pusat : JOHOR BAHRU, JOHOR",TELUR AYAM,BIJI,2023-02-04 23:49:13.386111
.43,.43,.43,"Pusat : JOHOR BAHRU, JOHOR",TELUR AYAM,BIJI,2023-02-04 23:49:13.388105
2.75,2.50,3.00,"Pusat : JOHOR BAHRU, JOHOR",TEMBIKAI MERAH,KILOGRAM,2023-02-04 23:49:13.390099
5.50,5.00,6.00,"Pusat : JOHOR BAHRU, JOHOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 23:49:13.392095
3.25,3.00,3.50,"Pusat : JOHOR BAHRU, JOHOR",TIMUN HIJAU,KILOGRAM,2023-02-04 23:49:13.395092
4.75,4.50,5.00,"Pusat : JOHOR BAHRU, JOHOR",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.397093
3.00,3.00,3.00,"Pusat : JOHOR BAHRU, JOHOR",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 23:49:13.400074
7.00,7.00,7.00,"Pusat : KOTA SETAR, KEDAH",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 23:49:13.403066
8.00,8.00,8.00,"Pusat : KOTA SETAR, KEDAH",AYAM PROSES SUPER,KILOGRAM,2023-02-04 23:49:13.405059
3.00,2.50,3.50,"Pusat : KOTA SETAR, KEDAH",BAWANG BESAR KUNING / HOLLAND,KILOGRAM,2023-02-04 23:49:13.407053
2.75,2.50,3.00,"Pusat : KOTA SETAR, KEDAH",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 23:49:13.410047
5.25,5.00,5.50,"Pusat : KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 23:49:13.413038
9.00,8.00,10.00,"Pusat : KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 23:49:13.416030
5.50,5.00,6.00,"Pusat : KOTA SETAR, KEDAH",BAWANG PUTIH (CHINA),KILOGRAM,2023-02-04 23:49:13.418024
4.50,4.00,5.00,"Pusat : KOTA SETAR, KEDAH",BAYAM,KILOGRAM,2023-02-04 23:49:13.421016
6.00,6.00,6.00,"Pusat : KOTA SETAR, KEDAH",BELIMBING (B10),KILOGRAM,2023-02-04 23:49:13.423011
1.25,1.00,1.50,"Pusat : KOTA SETAR, KEDAH",BUNGA KANTAN,TANGKAI,2023-02-04 23:49:13.425005
7.00,6.00,8.00,"Pusat : KOTA SETAR, KEDAH",CILI HIJAU,KILOGRAM,2023-02-04 23:49:13.429002
12.00,11.00,13.00,"Pusat : KOTA SETAR, KEDAH",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 23:49:13.430990
7.50,7.00,8.00,"Pusat : KOTA SETAR, KEDAH",CILI MERAH MINYAK,KILOGRAM,2023-02-04 23:49:13.433984
15.50,15.00,16.00,"Pusat : KOTA SETAR, KEDAH",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 23:49:13.435976
12.50,10.00,15.00,"Pusat : KOTA SETAR, KEDAH",DAUN BAWANG,KILOGRAM,2023-02-04 23:49:13.437973
8.50,7.00,10.00,"Pusat : KOTA SETAR, KEDAH",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.440963
9.50,9.00,10.00,"Pusat : KOTA SETAR, KEDAH",KACANG BENDI,KILOGRAM,2023-02-04 23:49:13.443956
8.50,7.00,10.00,"Pusat : KOTA SETAR, KEDAH",KACANG BUNCIS,KILOGRAM,2023-02-04 23:49:13.445950
6.00,5.00,7.00,"Pusat : KOTA SETAR, KEDAH",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 23:49:13.448941
4.50,4.00,5.00,"Pusat : KOTA SETAR, KEDAH",KANGKUNG,KILOGRAM,2023-02-04 23:49:13.451934
2.00,2.00,2.00,"Pusat : KOTA SETAR, KEDAH",KELAPA DIKUPAS,BIJI,2023-02-04 23:49:13.456920
6.00,6.00,6.00,"Pusat : KOTA SETAR, KEDAH",KELAPA PARUT,KILOGRAM,2023-02-04 23:49:13.523743
4.50,4.00,5.00,"Pusat : KOTA SETAR, KEDAH",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 23:49:13.531720
3.00,3.00,3.00,"Pusat : KOTA SETAR, KEDAH",KUBIS BULAT (INDONESIA),KILOGRAM,2023-02-04 23:49:13.535711
3.25,3.00,3.50,"Pusat : KOTA SETAR, KEDAH",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.537704
4.25,4.00,4.50,"Pusat : KOTA SETAR, KEDAH",PISANG BERANGAN,KILOGRAM,2023-02-04 23:49:13.540696
4.25,4.00,4.50,"Pusat : KOTA SETAR, KEDAH",PISANG MAS,KILOGRAM,2023-02-04 23:49:13.544686
10.00,10.00,10.00,"Pusat : KOTA SETAR, KEDAH",SANTAN BIASA,KILOGRAM,2023-02-04 23:49:13.563635
5.25,5.00,5.50,"Pusat : KOTA SETAR, KEDAH",SAWI HIJAU,KILOGRAM,2023-02-04 23:49:13.569620
.42,.42,.42,"Pusat : KOTA SETAR, KEDAH",TELUR AYAM,BIJI,2023-02-04 23:49:13.572611
.43,.43,.43,"Pusat : KOTA SETAR, KEDAH",TELUR AYAM,BIJI,2023-02-04 23:49:13.575603
.44,.44,.44,"Pusat : KOTA SETAR, KEDAH",TELUR AYAM,BIJI,2023-02-04 23:49:13.578596
2.50,2.50,2.50,"Pusat : KOTA SETAR, KEDAH",TEMBIKAI MERAH,KILOGRAM,2023-02-04 23:49:13.581587
4.75,4.50,5.00,"Pusat : KOTA SETAR, KEDAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 23:49:13.584579
3.50,3.00,4.00,"Pusat : KOTA SETAR, KEDAH",TIMUN HIJAU,KILOGRAM,2023-02-04 23:49:13.586574
4.75,4.50,5.00,"Pusat : KOTA SETAR, KEDAH",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.589566
3.00,3.00,3.00,"Pusat : KOTA SETAR, KEDAH",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 23:49:13.594553
8.00,8.00,8.00,"Pusat : KOTA BHARU, KELANTAN",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 23:49:13.597544
3.50,3.00,4.00,"Pusat : KOTA BHARU, KELANTAN",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 23:49:13.601536
3.00,3.00,3.00,"Pusat : KOTA BHARU, KELANTAN",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 23:49:13.604526
1.25,1.00,1.50,"Pusat : KOTA BHARU, KELANTAN",BUNGA KANTAN,TANGKAI,2023-02-04 23:49:13.607520
10.00,10.00,10.00,"Pusat : KOTA BHARU, KELANTAN",CILI MERAH MINYAK,KILOGRAM,2023-02-04 23:49:13.611508
15.00,15.00,15.00,"Pusat : KOTA BHARU, KELANTAN",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 23:49:13.614499
14.50,14.00,15.00,"Pusat : KOTA BHARU, KELANTAN",DAUN BAWANG,KILOGRAM,2023-02-04 23:49:13.617492
13.50,12.00,15.00,"Pusat : KOTA BHARU, KELANTAN",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.619486
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KACANG BENDI,KILOGRAM,2023-02-04 23:49:13.622478
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KACANG BUNCIS,KILOGRAM,2023-02-04 23:49:13.626470
7.00,6.00,8.00,"Pusat : KOTA BHARU, KELANTAN",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 23:49:13.630457
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KANGKUNG,KILOGRAM,2023-02-04 23:49:13.633449
1.45,1.40,1.50,"Pusat : KOTA BHARU, KELANTAN",KELAPA DIKUPAS,BIJI,2023-02-04 23:49:13.636441
5.00,5.00,5.00,"Pusat : KOTA BHARU, KELANTAN",KELAPA PARUT,KILOGRAM,2023-02-04 23:49:13.638435
6.00,6.00,6.00,"Pusat : KOTA BHARU, KELANTAN",KETOLA / PETOLA SEGI,KILOGRAM,2023-02-04 23:49:13.641428
4.25,4.00,4.50,"Pusat : KOTA BHARU, KELANTAN",KUBIS BULAT (CHINA),KILOGRAM,2023-02-04 23:49:13.645419
4.00,4.00,4.00,"Pusat : KOTA BHARU, KELANTAN",KUBIS BULAT (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.648409
4.00,4.00,4.00,"Pusat : KOTA BHARU, KELANTAN",PISANG BERANGAN,KILOGRAM,2023-02-04 23:49:13.651401
7.50,7.00,8.00,"Pusat : KOTA BHARU, KELANTAN",SANTAN BIASA,KILOGRAM,2023-02-04 23:49:13.654393
4.50,4.00,5.00,"Pusat : KOTA BHARU, KELANTAN",SAWI HIJAU,KILOGRAM,2023-02-04 23:49:13.657384
.45,.45,.45,"Pusat : KOTA BHARU, KELANTAN",TELUR AYAM,BIJI,2023-02-04 23:49:13.661375
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),KILOGRAM,2023-02-04 23:49:13.664366
5.00,5.00,5.00,"Pusat : KOTA BHARU, KELANTAN",TIMUN HIJAU,KILOGRAM,2023-02-04 23:49:13.667358
5.50,5.00,6.00,"Pusat : KOTA BHARU, KELANTAN",TOMATO (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.670350
2.50,2.50,2.50,"Pusat : KOTA BHARU, KELANTAN",UBI KENTANG HOLLAND,KILOGRAM,2023-02-04 23:49:13.673342
6.10,6.00,6.20,"Pusat : MELAKA TENGAH, MELAKA",AYAM PROSES STANDARD,KILOGRAM,2023-02-04 23:49:13.678329
2.75,2.50,3.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG BESAR KUNING / HOLLAND,KILOGRAM,2023-02-04 23:49:13.681320
2.75,2.50,3.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG BESAR MERAH (INDIA),KILOGRAM,2023-02-04 23:49:13.684313
4.75,4.50,5.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (INDIA),KILOGRAM,2023-02-04 23:49:13.687304
8.75,8.50,9.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (THAI),KILOGRAM,2023-02-04 23:49:13.689299
4.75,4.50,5.00,"Pusat : MELAKA TENGAH, MELAKA",BAWANG PUTIH (CHINA),KILOGRAM,2023-02-04 23:49:13.693289
4.00,3.50,4.50,"Pusat : MELAKA TENGAH, MELAKA",BAYAM,KILOGRAM,2023-02-04 23:49:13.697278
3.25,3.00,3.50,"Pusat : MELAKA TENGAH, MELAKA",BELIMBING (B10),KILOGRAM,2023-02-04 23:49:13.699272
9.25,8.50,10.00,"Pusat : MELAKA TENGAH, MELAKA",CILI HIJAU,KILOGRAM,2023-02-04 23:49:13.702265
11.00,10.00,12.00,"Pusat : MELAKA TENGAH, MELAKA",CILI MERAH KULAI / KULAI HIBRID,KILOGRAM,2023-02-04 23:49:13.705257
10.50,10.00,11.00,"Pusat : MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,KILOGRAM,2023-02-04 23:49:13.710248
10.50,10.00,11.00,"Pusat : MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,KILOGRAM,2023-02-04 23:49:13.713235
11.75,11.50,12.00,"Pusat : MELAKA TENGAH, MELAKA",DAGING IMPORT PEJAL (INDIA) - SILVER SIDE,KILOGRAM,2023-02-04 23:49:13.716227
7.50,7.00,8.00,"Pusat : MELAKA TENGAH, MELAKA",DAUN BAWANG,KILOGRAM,2023-02-04 23:49:13.718223
5.00,4.00,6.00,"Pusat : MELAKA TENGAH, MELAKA",DAUN SUP (TANAH TINGGI),KILOGRAM,2023-02-04 23:49:13.721215
5.00,4.50,5.50,"Pusat : MELAKA TENGAH, MELAKA",KACANG BENDI,KILOGRAM,2023-02-04 23:49:13.724206
7.50,7.00,8.00,"Pusat : MELAKA TENGAH, MELAKA",KACANG BUNCIS,KILOGRAM,2023-02-04 23:49:13.729193
5.25,4.50,6.00,"Pusat : MELAKA TENGAH, MELAKA",KACANG PANJANG HIJAU,KILOGRAM,2023-02-04 23:49:13.731187
